file_id,filename,created_at,classification,package_status,source
file_00000000a6907206bdff3ac770379fb1,index.html,2026-07-12T06:02:46Z,V53 單檔主線,大型原檔；未嵌入,File Library
file_00000000314472099be72eb06f6c4783,index.html,2026-07-11T11:35:50Z,V52 單檔安全模式／部署診斷,大型原檔；未嵌入,File Library
file_000000007c4c71f89484fe8c56e88a92,index.html,2026-07-11T08:51:31Z,V51 單檔啟動修復,大型原檔；未嵌入,File Library
file_000000007f2c71f8beec41cf028f0125,index.html,2026-07-11T07:27:02Z,V41 分檔版,未嵌入,File Library
file_00000000b540720b854298d3264512d7,index.html,2026-07-11T05:43:37Z,V41 十輪精修版,未嵌入,File Library
file_000000009f10720b943fd3f2230af4a4,index.html,2026-07-11T05:29:54Z,V31,未嵌入,File Library
file_000000009fdc720b85afd4859215d8b0,index.html,2026-07-11T05:17:59Z,V26,未嵌入,File Library
file_000000001b04720b95566edca1b8c406,index.html,2026-07-11T05:03:22Z,V25,未嵌入,File Library
file_00000000b12c72069c1d9a31f0209ea8,index.html,2026-07-11T04:57:45Z,V24,未嵌入,File Library
file_00000000796072068471b8e0c49a7020,index.html,2026-07-08T07:40:47Z,保底穩定單檔,未嵌入,File Library
file_000000000968720699d590fffd03877b,index.html,2026-07-08T07:36:51Z,Three.js 3D 單檔早期版,未嵌入,File Library
file_000000001684720b8fc3a6c395d8fe0d,app.js,2026-07-11T05:43:45Z,V41 app.js 變體,未嵌入,File Library
file_0000000014a0720ba577e5acddf6932f,app.js,2026-07-11T07:27:10Z,V41 app.js 後期變體,未嵌入,File Library
file_0000000091dc720b8cc83733426187e1,app.js,2026-07-11T05:18:05Z,V26 app.js,未嵌入,File Library
file_0000000049a0720baf02fde812703b88,app.js,2026-07-11T05:30:01Z,V31 app.js,未嵌入,File Library
file_00000000bce471f881eb119d66318d53,app.js,2026-07-11T05:03:36Z,V25 app.js,未嵌入,File Library
file_000000004d08720bb0738c57368682b2,traffic-ai.js,2026-07-11T05:18:19Z,歷史 AI 車流模組,部分恢復；需比對,File Library
file_0000000032647206b6d1babfa09336d4,manifest.webmanifest,2026-07-11T04:08:04Z,V21 manifest,已嵌入重建,File Library
file_0000000080d07206ab5d323b42bb80e7,manifest.webmanifest,2026-07-11T04:12:45Z,V22 manifest,已嵌入重建,File Library
file_00000000e2747206a38aeba0d6142d28,manifest.webmanifest,2026-07-11T04:57:53Z,V24 manifest,已嵌入重建,File Library
file_00000000cee4720ba5b6a97c7fc0c39b,manifest.webmanifest,2026-07-11T05:18:08Z,V26 manifest,已嵌入重建,File Library
file_00000000e1ec72068a4df63597e18579,V53_UPDATE_REPORT.md,2026-07-12T06:02:47Z,V53 更新報告,已完整嵌入,File Library
file_000000009de471f880f44b5d518fc094,UPGRADE_REPORT_V38_V46.md,2026-07-11T07:30:04Z,V38～V46 升級摘要,已完整嵌入,File Library
file_0000000070ec71f894f4d2c3c6f92064,V48_V50_UPGRADE_REPORT.md,2026-07-11T07:43:43Z,V48～V50 升級報告,已完整嵌入,File Library
file_00000000b64c720bae71ff399168ab7d,V51_REPAIR_GUIDE.md,2026-07-11T08:51:27Z,V51 修復指南,已完整嵌入,File Library
file_00000000c1f0720bac68a715b0aab383,TEN_PASS_AUDIT.md,2026-07-11T05:43:33Z,V41 詳細十輪稽核,已完整嵌入,File Library
file_00000000f014720bb337699fafb58e7a,TEN_PASS_AUDIT.md,2026-07-11T07:26:59Z,V32～V41 十輪版本摘要,已完整嵌入,File Library
file_00000000e7cc71f8ad10a7867db13415,V50_ARCHITECTURE_REPORT.json,2026-07-11T07:43:48Z,V50 架構報告,已完整嵌入,File Library
file_00000000ac6c720baabb66d3fa75bb0c,V49_DEVICE_TEST_REPORT.json,2026-07-11T07:43:45Z,V49 裝置測試報告,大型原檔；未嵌入,File Library
file_0000000092c07206a4c43242956a67de,賽車遊戲 UI 介面展示.png,2026-07-17T03:08:43Z,UI 改版參考圖,圖片原檔；未嵌入,File Library
file_000000000b8472068d6c34bfcc7dd8ab,未来跑道竞速挑战.png,2026-07-17T03:12:28Z,視角／跑道參考圖,圖片原檔；未嵌入,File Library
file_0000000054548206894cb25e7bd8935d,index.html,2026-07-18T07:26:45Z,Playwright Test Report；不是遊戲主程式,排除,File Library
